title,chapter,published,id,word_count
ONE: The Boy in the Bubble,1.0,2023-01-25T03:39:45.0000000+00:00,1096481,1573
TWO: Mistakes,2.0,2023-01-26T22:07:00.0000000+00:00,1097958,3764
THREE: 90 seconds,3.0,2023-01-29T15:46:00.0000000+00:00,1100089,2750
FOUR: Avowed Communications,4.0,2023-02-03T21:03:00.0000000+00:00,1104952,3023
FIVE: The Nice One,5.0,2023-02-04T21:37:16.0000000+00:00,1105784,2525
SIX: Gorgon,6.0,2023-02-12T04:46:13.0000000+00:00,1111783,2433
SEVEN: A Little Delusional,7.0,2023-02-12T22:32:45.0000000+00:00,1112335,2984
EIGHT: Tiger Shorts,8.0,2023-02-15T04:46:00.0000000+00:00,1114180,1847
NINE: Gorgon,9.0,2023-02-15T23:46:00.0000000+00:00,1114911,3129
TEN: Side Effects,10.0,2023-02-16T16:17:16.0000000+00:00,1115315,2669
ELEVEN: Last and Least,11.0,2023-02-17T04:16:01.0000000+00:00,1115805,2380
TWELVE: One O'clock on a Thursday,12.0,2023-02-17T15:02:30.0000000+00:00,1116121,2225
THIRTEEN: The B-Ranks,13.0,2023-02-18T04:16:00.0000000+00:00,1116754,3490
"FOURTEEN: Class Trader, Part One",14.0,2023-02-18T21:46:08.0000000+00:00,1117328,2532
"FIFTEEN: Class Trader, Part Two",15.0,2023-02-20T00:07:09.0000000+00:00,1118061,4401
"SIXTEEN: Boe, Part One",16.0,2023-02-20T21:06:00.0000000+00:00,1118803,2058
"SEVENTEEN: Boe, Part Two",17.0,2023-02-22T04:41:09.0000000+00:00,1120008,5029
EIGHTEEN: Interlude - Rabbit,18.0,2023-02-22T22:47:49.0000000+00:00,1120720,1638
NINETEEN: Teleport,19.0,2023-02-23T21:46:00.0000000+00:00,1121524,3966
TWENTY: An Ordinary Mailbox,20.0,2023-02-25T14:46:00.0000000+00:00,1122880,1520
TWENTY-ONE: Glossed,21.0,2023-02-27T05:18:39.0000000+00:00,1124079,2519
TWENTY-TWO: Uneven,22.0,2023-03-02T05:01:20.0000000+00:00,1126741,4751
TWENTY-THREE: Funeral,23.0,2023-03-05T19:00:47.0000000+00:00,1129594,5020
TWENTY-FOUR: Rabbit,24.0,2023-03-09T05:03:25.0000000+00:00,1132920,5806
TWENTY-FIVE: Wardrobe,25.0,2023-03-16T05:31:06.0000000+00:00,1139356,4262
TWENTY-SIX: First Assignment,26.0,2023-03-27T05:06:03.0000000+00:00,1149536,9675
TWENTY-SEVEN: Boater,27.0,2023-03-30T02:41:46.0000000+00:00,1152327,4611
TWENTY-EIGHT: Perception,28.0,2023-04-05T22:10:41.0000000+00:00,1159718,7182
"TWENTY-NINE: Moon Thegund, pt. 1",29.0,2023-04-13T02:02:00.0000000+00:00,1167992,5050
"THIRTY: Moon Thegund, Pt. 2",30.0,2023-04-20T03:34:44.0000000+00:00,1186258,4111
THIRTY-ONE: Manon,31.0,2023-04-27T02:24:24.0000000+00:00,1194129,4135
THIRTY-TWO: Chaining,32.0,2023-05-01T02:15:00.0000000+00:00,1198333,4034
THIRTY-THREE: Falling,33.0,2023-05-05T04:36:49.0000000+00:00,1202858,3343
THIRTY-FOUR: Fishing,34.0,2023-05-08T02:14:45.0000000+00:00,1206053,4299
THIRTY-FIVE: Stuart,35.0,2023-05-11T04:57:43.0000000+00:00,1209316,3565
THIRTY-SIX: Bone,36.0,2023-05-18T03:30:55.0000000+00:00,1216662,6118
THIRTY-SEVEN: Days,37.0,2023-05-21T18:47:19.0000000+00:00,1220471,5615
THIRTY-EIGHT: Hedonistic,38.0,2023-05-25T00:03:00.0000000+00:00,1224121,7760
THIRTY-NINE: Lesson One,39.0,2023-05-29T02:06:00.0000000+00:00,1228338,8292
FORTY:  Zero In,40.0,2023-06-01T03:31:13.0000000+00:00,1231654,6142
FORTY-ONE: Chaos,41.0,2023-06-05T01:17:00.0000000+00:00,1235378,3536
FORTY-TWO: Be Safe,42.0,2023-06-07T18:50:45.0000000+00:00,1238181,2586
FORTY-THREE: The Grass,43.0,2023-06-11T19:57:56.0000000+00:00,1242366,5467
FORTY-FOUR: Request for Insight,44.0,2023-06-14T13:51:07.0000000+00:00,1245476,342
FORTY-FIVE: Start,45.0,2023-06-15T02:02:00.0000000+00:00,1246304,4708
FORTY-SIX: Life,46.0,2023-06-18T16:03:32.0000000+00:00,1250159,2715
